true_class,Diterpenoids,Sesquiterpenoids,Triterpenoids,Flavonoids,Unknown,Steroids,Tryptophan alkaloids,Oligopeptides,Monoterpenoids,Polycyclic aromatic polyketides,Meroterpenoids,Coumarins,Macrolides,Lignans,Isoflavonoids,Linear polyketides,Tyrosine alkaloids,Cyclic polyketides,Aromatic polyketides,Naphthalenes,Small peptides,Multi,Chromanes,Peptide alkaloids,Pseudoalkaloids,Fatty acyls,Xanthones,Fatty Acids and Conjugates,Phenolic acids (C6-C1),Carotenoids (C40),Anthranilic acid alkaloids,Lysine alkaloids,Phenylpropanoids (C6-C3),Sesterterpenoids,Phloroglucinols,Stilbenoids,Apocarotenoids,Nicotinic acid alkaloids,Terphenyls,Ornithine alkaloids,Fatty esters,Diarylheptanoids,Sphingolipids,Fatty amides,Glycerolipids,Polyethers,Eicosanoids,Diphenyl ethers (DPEs),Saccharides,Histidine alkaloids,Nucleosides,Glycerophospholipids,Styrylpyrones,Phenanthrenoids,Amino acid glycosides,Proline alkaloids,β-lactams,Octadecanoids,Polyols,Aminosugars and aminoglycosides,Miscellaneous polyketides,Alkylresorcinols,Polyprenols,Serine alkaloids,Diazotetronic acids and derivatives,Tetramate alkaloids,Phenylethanoids (C6-C2),Fatty acyl glycosides,Tropolones,Docosanoids,Carotenoids (C50),γ-lactam-β-lactones,Guanidine alkaloids,Miscellaneous alkaloids,Mycosporine derivatives,Fluorenes
Pseudoalkaloids,5,10,1,0,16,20,10,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,1,443,4,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthranilic acid alkaloids,0,3,0,6,41,0,14,3,0,5,0,1,0,0,0,0,1,0,3,5,2,19,0,0,0,0,12,0,11,0,295,0,0,0,3,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Lysine alkaloids,0,7,0,1,34,0,0,2,6,0,1,0,0,1,0,7,17,2,0,0,3,2,0,1,4,3,0,1,0,1,0,321,3,0,0,0,4,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatty acyls,1,0,7,1,29,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,331,0,37,0,0,0,0,2,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phenolic acids (C6-C1),0,0,0,14,73,0,0,0,5,1,2,1,0,1,2,0,0,0,13,2,4,6,3,6,0,1,0,0,246,0,3,0,6,0,15,0,0,1,3,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Xanthones,0,0,0,16,8,0,0,0,0,1,0,9,0,0,13,0,0,0,11,1,0,25,21,0,2,0,305,0,2,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatty Acids and Conjugates,1,2,0,0,17,0,0,0,3,0,0,0,0,0,0,10,0,2,1,0,0,31,0,0,0,11,0,304,0,0,0,0,0,0,0,0,5,0,0,0,7,0,10,0,0,0,4,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phenylpropanoids (C6-C3),0,0,3,12,53,0,0,0,0,0,2,0,0,33,0,1,1,0,0,0,2,33,0,1,0,0,0,0,8,0,0,0,233,0,1,13,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1
Carotenoids (C40),0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,324,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Sesterterpenoids,14,7,8,0,5,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ornithine alkaloids,1,1,1,3,53,0,1,1,5,0,0,0,0,3,0,0,0,1,0,0,17,2,0,4,0,6,0,1,0,0,1,7,6,0,0,0,1,0,1,165,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0
